scrape_date,category,company_name,phone,email,website,employee_count,city,country,scraped_at
2026-06-21,MSP Platform,GoldenStackSolutions,(338) 620-7689,hello@goldenstacksolutions.io,https://www.goldenstacksolutions.io,39,Bengaluru,IN,2026-06-21T02:24:43Z
2026-06-21,ERP,QuartzLedgerCore,+1 (584) 931-5955,info@quartzledgercore.io,https://www.quartzledgercore.io,95,Raleigh,US,2026-06-21T04:42:10Z
2026-06-21,Lgl,Velo CaseSystems,+13693519745,contact@velocasesystems.com,velocasesystems.com,26,Phoenix,US,2026-06-21T04:34:35Z
2026-06-21,Legal,OrbitDocketDynamics,+14197492797 ext. 85,hello@orbitdocketdynamics.com,https://www.orbitdocketdynamics.com,90,Amsterdam,NL,2026-06-21T01:19:50Z
2026-06-21,HR,ArchBenefitHub,6804630251 ext. 35,info@archbenefithub.com,https://www.archbenefithub.com,437,Leeds,UK,2026-06-21T05:33:57Z
2026-06-21,MSP Platform,Halo StackDesk,571-265-5173,hello@halostackdesk.net,https://www.halostackdesk.net,11,Tampa,US,2026-06-21T06:54:04Z
2026-06-21,Medical,RapidHealthSoft,+1 (615) 550-5522,info@rapidhealthsoft.com,https://www.rapidhealthsoft.com,4633,Chicago,US,2026-06-21T01:48:20Z
2026-06-21,Legal,Clear CaseSoft,+13874687754,hello@clearcasesoft.co,https://clearcasesoft.co,61,Austin,US,2026-06-21T02:17:17Z
2026-06-21,Medical,GraniteRxTech,(825) 820-8319,sales@graniterxtech.com,https://graniterxtech.com,411,London,UK,2026-06-21T05:15:24Z
2026-06-21,Legal,RidgeVerdictSolutions,3108703383,info@ridgeverdictsolutions.com,https://www.ridgeverdictsolutions.com,84,Lahore,PK,2026-06-21T02:00:34Z
2026-06-21,HR,BlueShift Core,+16639883248,contact@blueshiftcore.com,https://blueshiftcore.com,58,Sydney,AU,2026-06-21T03:11:45Z
2026-06-21,Medical,Omni CareSystems,04295747377,contact@omnicaresystems.io,https://www.omnicaresystems.io,9,Berlin,DE,2026-06-21T03:49:04Z
2026-06-21,MSP Platform,Ridge UptimeSuite,+15296144916,hello@ridgeuptimesuite.io,https://www.ridgeuptimesuite.io,N/A,Boston,US,2026-06-21T04:44:31Z
2026-06-21,LMS,Lattice SkillSync,595-502-4882,sales@latticeskillsync.com,https://www.latticeskillsync.com,89,Seattle,US,2026-06-21T03:32:50Z
2026-06-21,HR,Velo Perform Staffing,2272984788,hello@veloperformstaffing.io,https://www.veloperformstaffing.io,109,Toronto,CA,2026-06-21T01:28:48Z
2026-06-21,Medical,EmberPatient Sync,(657) 357-6456,sales@emberpatientsync.io,https://www.emberpatientsync.io,17,Tampa,US,2026-06-21T06:40:19Z
2026-06-21,MSP Platform,Vista NodeFlow,457-753-1201 ext. 67,info@vistanodeflow.com,https://www.vistanodeflow.com,895,Phoenix,US,2026-06-21T04:14:35Z
2026-06-21,HR,RapidRoster Tech,7598657839,hello@rapidrostertech.com,https://www.rapidrostertech.com,94,Bengaluru,IN,2026-06-21T01:17:22Z
2026-06-21,HR,BeaconCultureApp,+1 (953) 460-3734 ext. 85,hello@beaconcultureapp.com,https://www.beaconcultureapp.com,43,Melbourne,AU,2026-06-21T05:03:22Z
2026-06-21,HR,LatticeTalentSuite,(673) 352-4453,hello@latticetalentsuite.com,https://latticetalentsuite.com,27,Columbus,US,2026-06-21T02:24:39Z
2026-06-21,ERP,Vertex PlanLogic,(281) 454-3606,info@vertexplanlogic.co,https://www.vertexplanlogic.co,41,Hyderabad,IN,2026-06-21T01:46:22Z
2026-06-21,ERP,QuartzResourceTech,743-776-2259,contact@quartzresourcetech.com,https://www.quartzresourcetech.com,2050,Hyderabad,IN,2026-06-21T01:23:36Z
2026-06-21,Legal,KeystoneMatter Tech,704-917-1968,info@keystonemattertech.com,keystonemattertech.com,5,Columbus,US,2026-06-21T03:42:29Z
2026-06-21,Medical,Keystone PulseApp,(787) 304-9161,sales@keystonepulseapp.io,https://www.keystonepulseapp.io,8,Tampa,US,2026-06-21T06:11:37Z
2026-06-21,Medical,Bold HealthPoint,650-354-5929,sales@boldhealthpoint.com,boldhealthpoint.com,15,Dublin,IE,2026-06-21T02:25:15Z
2026-06-21,HR,GoldenPerformLogic,7964088737,sales@goldenperformlogic.io,https://www.goldenperformlogic.io,30,Raleigh,US,2026-06-21T06:34:09Z
2026-06-21,MSP Platform,ZephyrPatchCloud,+1 (506) 898-7120,sales@zephyrpatchcloud.io,https://zephyrpatchcloud.io,14,Vancouver,CA,2026-06-21T06:48:28Z
2026-06-21,Medical,KeystoneRxLabs,1-484-407-4899,hello@keystonerxlabs.net,https://www.keystonerxlabs.net,22,Seattle,US,2026-06-21T01:33:04Z
2026-06-21,MSP Platform,BrightUptime Hub,(534) 917-5676,hello@brightuptimehub.com,https://brightuptimehub.com,47,Sydney,AU,2026-06-21T03:45:30Z
2026-06-21,HR,Delta CultureSolutions,02716211974,contact@deltaculturesolutions.com,https://www.deltaculturesolutions.com,404,,DE,2026-06-21T02:32:31Z
2026-06-21,Medical,Mosaic HealthPlatform,(393) 338-3143,sales@mosaichealthplatform.net,https://mosaichealthplatform.net,707,N/A,US,2026-06-21T04:43:02Z
2026-06-21,ERP,CedarOrder Soft,610-353-8867,hello@cedarordersoft.com,cedarordersoft.com,485,Bengaluru,IN,2026-06-21T02:21:20Z
2026-06-21,Medical,Prime MedPoint,413-472-4759,hello@primemedpoint.com,https://www.primemedpoint.com,17,Toronto,CA,2026-06-21T04:22:57Z
2026-06-21,ERP,FusionOrderCore,(522) 304-7834,,https://www.fusionordercore.io,180,Phoenix,US,2026-06-21T02:20:39Z
2026-06-21,ERP,Arch OpsSphere,1-557-333-6109,sales@archopssphere.com,https://archopssphere.com,35,Phoenix,US,2026-06-21T06:53:55Z
2026-06-21,MSP Platform,BoldNodeCore,02347449797,hello@boldnodecore.com,https://www.boldnodecore.com,17,Tampa,US,2026-06-21T03:01:25Z
2026-06-21,Legal,BeaconCounselSolutions,(376) 365-4598,contact@beaconcounselsolutions.com,beaconcounselsolutions.com,31,Leeds,UK,2026-06-21T01:54:26Z
2026-06-21,ERP,Fusion OrderPoint,1-664-378-6821,contact@fusionorderpoint.com,https://fusionorderpoint.com,48,Denver,US,2026-06-21T03:35:20Z
2026-06-21,Medical,AltaPulse Core,(659) 362-5344,contact@altapulsecore.com,https://www.altapulsecore.com,13,Vancouver,CA,2026-06-21T06:25:43Z
2026-06-21,Medical,Anchor PatientSoft,4134727898,hello@anchorpatientsoft.io,https://www.anchorpatientsoft.io,20,Amsterdam,NL,2026-06-21T04:53:20Z
2026-06-21,legal,Juniper LawTech,865.279.2526,info@juniperlawtech.com,https://www.juniperlawtech.com,13,Tampa,US,2026-06-21T02:36:59Z
2026-06-21,Legal,LatticeDocket Cloud,+15454162872,,https://www.latticedocketcloud.com,5,Chicago,US,2026-06-21T04:12:54Z
