entity_id,canonical_name,canonical_phone,categories,n_raw_rows
1,Cedar FinHub,4832838234,ERP,26
2,Beacon Node BPO Services,8325162691,MSP Platform,22
3,Ridgeway CarePlatform,7958302201,Medical,23
4,Summit ForgeTech,6002894196,ERP,32
5,RavenVerdict Tech,8176039312,Legal,35
6,LumenPayroll Solutions,6969195815,HR,32
7,MetaEndpoint Soft,2842966199,MSP Platform,33
8,SilverBatch Sync,9103636038,ERP,21
9,RapidRoster Tech,7598657839,HR,21
10,Nova RxCore,3958851182,Medical,31
11,Silver StackDynamics,3996030099,MSP Platform,35
12,Bright BenefitSoft,7604968606,HR,39
13,ClearBenefit Base,8935568038,HR,23
14,Beacon MonitorSphere,2455262526,MSP Platform,28
15,LatticeUptime Cloud,4104350985,MSP Platform,33
16,ArchPayroll Hub,5208667639,HR,32
17,AnchorFiling Point,6616512861,Legal,37
18,IronChartSystems,7689299005,Medical,33
19,EmberRxCloud,3857420039,Medical,27
20,LumenPatientSync,6988844785,Medical,30
21,Alta Node BPO Services,6478293011,MSP Platform,18
22,GraniteTutorSoft,3098525442,LMS,30
23,Orbit PerformSuite,7429590670,HR,26
24,CedarClinicCloud,4664672867,Medical,32
25,Atlas ClauseSuite,5854332803,Legal,37
26,Sable VitalDesk,2418551845,Medical,36
27,XenonPatch Logic,6837488733,MSP Platform,39
28,Golden NodeSuite,8823405277,MSP Platform,40
29,Lumen FinSphere,2442553305,ERP,25
30,Core NetSolutions,9066564450,MSP Platform,35
31,ZenFin Desk,8065373068,ERP,24
32,RidgeMatterFlow,2697583686,Legal,25
33,SableNet Base,9052598832,MSP Platform,21
34,NovaChartBase,9502282107,Medical,30
35,HarborPatchWorks,5535246531,MSP Platform,30
36,RapidMed Suite,2493890699,Medical,41
37,Anchor OnboardTech,2635833076,HR,26
38,Quartz DocketLogic,8712766783,Legal,36
39,True PatchDynamics,3046695706,MSP Platform,30
40,NorthMentorLogic,5852922037,LMS,38
41,AltaTriage Labs,9666671086,Medical,28
42,VistaVerdictCore,6578138861,Legal,37
43,MetaPlanPlatform,4019121717,ERP,33
44,Quartz ForgeSync,7489147147,ERP,30
45,Umbra BenefitSystems,5084446428,HR,32
46,Sable NodePlatform,5718232165,MSP Platform,21
47,CobaltMonitorLogic,4334780795,MSP Platform,27
48,EmberShift Solutions,9147864264,HR,37
49,CrestGrid Base,7285760540,MSP Platform,23
50,ArchOnboard Cloud,4857967216,HR,29
51,AtlasPerform App,5218298685,HR,32
52,Omni TalentSystems,7609691572,HR,34
53,MosaicCare App,9473926667,Medical,34
54,OrbitOrderCloud,9044836418,ERP,38
55,EmberCaseDesk,9252372105,Legal,33
56,PolarisLawLogic,2562804768,Legal,22
57,Sable StackSystems,8369941575,MSP Platform,31
58,CedarCare Systems,8806243305,Medical,32
