scrape_date,category,unique_phones
2026-06-01,ERP,1213
2026-06-01,HR,927
2026-06-01,LMS,253
2026-06-01,Legal,611
2026-06-01,MSP Platform,740
2026-06-01,Medical,906
2026-06-02,ERP,1186
2026-06-02,HR,967
2026-06-02,LMS,269
2026-06-02,Legal,608
2026-06-02,MSP Platform,756
2026-06-02,Medical,933
2026-06-03,ERP,1234
2026-06-03,HR,959
2026-06-03,LMS,259
2026-06-03,Legal,620
2026-06-03,MSP Platform,764
2026-06-03,Medical,927
2026-06-04,ERP,1228
2026-06-04,HR,946
2026-06-04,LMS,271
2026-06-04,Legal,648
2026-06-04,MSP Platform,768
2026-06-04,Medical,946
2026-06-05,ERP,1253
2026-06-05,HR,980
2026-06-05,LMS,273
2026-06-05,Legal,641
2026-06-05,MSP Platform,792
2026-06-05,Medical,947
2026-06-06,ERP,1275
2026-06-06,HR,1010
2026-06-06,LMS,261
2026-06-06,Legal,641
2026-06-06,MSP Platform,809
2026-06-06,Medical,943
2026-06-07,ERP,1291
2026-06-07,HR,966
2026-06-07,LMS,277
2026-06-07,Legal,674
2026-06-07,MSP Platform,790
2026-06-07,Medical,1004
2026-06-08,ERP,1284
2026-06-08,HR,1019
2026-06-08,LMS,288
2026-06-08,Legal,702
2026-06-08,MSP Platform,785
2026-06-08,Medical,1011
2026-06-09,ERP,1306
2026-06-09,HR,1012
2026-06-09,LMS,277
2026-06-09,Legal,692
2026-06-09,MSP Platform,836
2026-06-09,Medical,1025
2026-06-10,ERP,1335
2026-06-10,HR,1000
2026-06-10,LMS,297
2026-06-10,Legal,702
2026-06-10,MSP Platform,844
2026-06-10,Medical,1033
2026-06-11,ERP,1318
2026-06-11,HR,1045
2026-06-11,LMS,301
2026-06-11,Legal,701
2026-06-11,MSP Platform,860
2026-06-11,Medical,1019
2026-06-12,ERP,1379
2026-06-12,HR,1094
2026-06-12,LMS,302
2026-06-12,Legal,722
2026-06-12,MSP Platform,842
2026-06-12,Medical,1071
2026-06-13,ERP,1382
2026-06-13,HR,1081
2026-06-13,LMS,290
2026-06-13,Legal,731
2026-06-13,MSP Platform,867
2026-06-13,Medical,1062
2026-06-14,ERP,1365
2026-06-14,HR,1078
2026-06-14,LMS,298
2026-06-14,Legal,749
2026-06-14,MSP Platform,871
2026-06-14,Medical,1139
2026-06-15,ERP,1395
2026-06-15,HR,1075
2026-06-15,LMS,298
2026-06-15,Legal,742
2026-06-15,MSP Platform,855
2026-06-15,Medical,1076
2026-06-16,ERP,1419
2026-06-16,HR,1074
2026-06-16,LMS,309
2026-06-16,Legal,769
2026-06-16,MSP Platform,897
2026-06-16,Medical,1124
2026-06-17,ERP,853
2026-06-17,HR,1094
2026-06-17,LMS,304
2026-06-17,Legal,756
2026-06-17,MSP Platform,866
2026-06-17,Medical,615
2026-06-18,ERP,1432
2026-06-18,HR,1144
2026-06-18,LMS,308
2026-06-18,Legal,775
2026-06-18,MSP Platform,944
2026-06-18,Medical,1145
2026-06-19,ERP,1456
2026-06-19,HR,1183
2026-06-19,LMS,323
2026-06-19,Legal,760
2026-06-19,MSP Platform,926
2026-06-19,Medical,1156
2026-06-20,ERP,1495
2026-06-20,HR,1158
2026-06-20,LMS,320
2026-06-20,Legal,809
2026-06-20,MSP Platform,935
2026-06-20,Medical,1173
2026-06-21,ERP,1546
2026-06-21,HR,1181
2026-06-21,LMS,317
2026-06-21,Legal,811
2026-06-21,MSP Platform,962
2026-06-21,Medical,1185
2026-06-22,ERP,1498
2026-06-22,HR,1185
2026-06-22,LMS,311
2026-06-22,Legal,828
2026-06-22,MSP Platform,935
2026-06-22,Medical,1178
2026-06-23,ERP,1519
2026-06-23,HR,1193
2026-06-23,LMS,326
2026-06-23,Legal,823
2026-06-23,MSP Platform,984
2026-06-23,Medical,1190
2026-06-24,ERP,1560
2026-06-24,HR,1237
2026-06-24,LMS,338
2026-06-24,Legal,843
2026-06-24,MSP Platform,983
2026-06-24,Medical,1196
2026-06-25,ERP,1572
2026-06-25,HR,1226
2026-06-25,LMS,315
2026-06-25,Legal,849
2026-06-25,MSP Platform,984
2026-06-25,Medical,1267
2026-06-26,ERP,1548
2026-06-26,HR,1222
2026-06-26,LMS,331
2026-06-26,Legal,866
2026-06-26,MSP Platform,1000
2026-06-26,Medical,1217
2026-06-27,ERP,1587
2026-06-27,HR,1273
2026-06-27,LMS,338
2026-06-27,Legal,842
2026-06-27,MSP Platform,1030
2026-06-27,Medical,1299
2026-06-28,ERP,1573
2026-06-28,HR,1256
2026-06-28,LMS,347
2026-06-28,Legal,872
2026-06-28,MSP Platform,1058
2026-06-28,Medical,1281
2026-06-29,ERP,1602
2026-06-29,HR,1274
2026-06-29,LMS,357
2026-06-29,Legal,862
2026-06-29,MSP Platform,1047
2026-06-29,Medical,1285
2026-06-30,ERP,1627
