scrape_date,new_entities,returning_entities
2026-06-01,4578,0
2026-06-02,1428,3221
2026-06-03,539,4149
2026-06-04,256,4473
2026-06-05,172,4645
2026-06-06,130,4739
2026-06-07,100,4829
2026-06-08,79,4932
2026-06-09,96,4992
2026-06-10,97,5038
2026-06-11,94,5083
2026-06-12,83,5242
2026-06-13,98,5217
2026-06-14,86,5326
2026-06-15,89,5278
2026-06-16,116,5398
2026-06-17,62,4376
2026-06-18,113,5553
2026-06-19,112,5601
2026-06-20,99,5693
2026-06-21,90,5830
2026-06-22,96,5738
2026-06-23,89,5862
2026-06-24,97,5961
2026-06-25,95,6024
2026-06-26,84,6020
2026-06-27,104,6168
2026-06-28,91,6201
2026-06-29,72,6252
2026-06-30,91,6327
2026-07-01,90,6301
2026-07-02,31,6450
2026-07-03,11,6481
2026-07-04,4,6461
2026-07-05,4,6457
2026-07-06,0,6412
2026-07-07,0,6427
2026-07-08,0,6488
2026-07-09,0,6516
2026-07-10,0,6462
2026-07-11,0,6516
2026-07-12,0,6456
