week_start,category,unique_phones,pct_change
2026-06-01,ERP,1872,
2026-06-01,HR,1469,
2026-06-01,LMS,429,
2026-06-01,Legal,994,
2026-06-01,MSP Platform,1173,
2026-06-01,Medical,1461,
2026-06-08,ERP,2037,8.81
2026-06-08,HR,1585,7.9
2026-06-08,LMS,451,5.13
2026-06-08,Legal,1083,8.95
2026-06-08,MSP Platform,1284,9.46
2026-06-08,Medical,1603,9.72
2026-06-15,ERP,2197,7.85
2026-06-15,HR,1726,8.9
2026-06-15,LMS,483,7.1
2026-06-15,Legal,1194,10.25
2026-06-15,MSP Platform,1403,9.27
2026-06-15,Medical,1730,7.92
2026-06-22,ERP,2347,6.83
2026-06-22,HR,1862,7.88
2026-06-22,LMS,523,8.28
2026-06-22,Legal,1274,6.7
2026-06-22,MSP Platform,1509,7.56
2026-06-22,Medical,1872,8.21
2026-06-29,ERP,2420,3.11
2026-06-29,HR,1920,3.11
2026-06-29,LMS,548,4.78
2026-06-29,Legal,1320,3.61
2026-06-29,MSP Platform,1563,3.58
2026-06-29,Medical,1936,3.42
2026-07-06,ERP,2416,-0.17
2026-07-06,HR,1915,-0.26
2026-07-06,LMS,545,-0.55
2026-07-06,Legal,1319,-0.08
2026-07-06,MSP Platform,1568,0.32
2026-07-06,Medical,1938,0.1
